,DEMAGE,DEMSEX,DEMREL,DEMINC,COV_SHIELD,COV_TRUST_1,COV_TRUST_2,COV_TRUST_3,COV_TRUST_4,COV_TRUST_5,COV_TRUST_6,COV_TRUST_7,COV_TRUST_8,COV_TRUST_9,COV_TRUST_10,COV_TRUST_11,COV_TRUST_12,COV_TRUST_13,DEMREG,DEMEDU,DEMWRK,VAC_DEC,COV_VAC_SELF,COV_KNOWL_1,COV_KNOWL_2,COV_KNOWL_3,COV_KNOWL_4,COV_KNOWL_5,COV_KNOWL_6,COV_KNOWL_7,DREAD,ANX_1,ANX_2,ANX_3,ANX_4,ANX_5,ANX_6,target_1,target_2
455,38,Male,Christian,"£25,000 to £34,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,Government websites,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Working full-time,0,1,3.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1
459,67,Female,Christian,"Under £15,000",No,National television,0,0,0,0,0,0,0,0,0,0,0,0,South East,No academic qualifications,Retired,0,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1
464,69,Female,Christian,"£15,000 to £24,999",No,National television,0,Radio,Newspapers,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,Scotland,"0-4 GCSE, O-levels, or equivalents",Retired,0,1,4.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1
465,18,Male,Other,"Under £15,000",No,National television,0,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,Yorkshire and The Humber,2+ A levels or equivalents,Student,1,2,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,,1
467,18,Male,Muslim,"Under £15,000",No,0,0,0,0,0,0,0,0,0,0,Family and friends,"Work, school, or college",0,South East,2+ A levels or equivalents,Student,0,2,3.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,,1
469,48,Male,Atheist or agnostic,"£15,000 to £24,999",No,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,Wales,Undergraduate or postgraduate degree,Working full-time,0,2,4.0,4.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,1
472,65,Male,Atheist or agnostic,"Under £15,000",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Working part-time,0,2,3.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,,1
474,37,Male,Atheist or agnostic,"£25,000 to £34,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,Government websites,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Working full-time,0,2,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,1
477,41,Male,Atheist or agnostic,"Under £15,000",No,National television,0,Radio,0,0,0,0,0,0,0,Family and friends,0,0,Scotland,Undergraduate or postgraduate degree,Unemployed,0,2,4.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,1
478,77,Female,Christian,"£45,000 to £54,999",Yes,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Northern Ireland,Other,Retired,0,2,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,,1
479,30,Male,Other,"£35,000 to £44,999",No,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,Government websites,0,0,0,0,Northern Ireland,Undergraduate or postgraduate degree,Working full-time,1,2,4.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,,1
480,54,Female,Atheist or agnostic,"£35,000 to £44,999",No,0,0,0,Newspapers,0,0,0,0,0,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Working full-time,1,2,3.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,,1
481,44,Male,Atheist or agnostic,"£15,000 to £24,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,East of England,Apprenticeship,Working full-time,0,2,3.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1
482,59,Female,Other,"£15,000 to £24,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Wales,2+ A levels or equivalents,Working part-time,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1
483,54,Male,Other,"£45,000 to £54,999",No,0,0,0,0,0,0,0,0,0,0,0,0,0,Wales,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,0,3,2.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,,0
486,54,Male,Christian,"£25,000 to £34,999",No,National television,Satellite / international television channels,0,0,0,0,0,0,Government websites,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Working full-time,0,1,3.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1
487,64,Male,Atheist or agnostic,"Under £15,000",No,0,0,0,0,0,0,Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,Northern Ireland,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1
488,20,Female,Other,"£25,000 to £34,999",No,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,South East,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,1,1,4.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1
489,22,Female,Christian,"£25,000 to £34,999",No,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Greater London,2+ A levels or equivalents,Working full-time,0,3,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,,0
490,42,Male,Christian,"£25,000 to £34,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,Wales,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,1,3,4.0,3.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,,0
491,55,Male,Atheist or agnostic,"£55,000 to £64,999",No,0,0,0,0,0,0,0,0,0,0,0,0,0,Northern Ireland,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,1,2,4.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,,1
494,55,Male,Christian,"£15,000 to £24,999",No,National television,0,0,Newspapers,0,0,Healthcare workers,0,0,0,Family and friends,0,0,Wales,"0-4 GCSE, O-levels, or equivalents",Working full-time,1,1,4.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1
495,54,Female,Other,"£25,000 to £34,999",Yes,National television,Satellite / international television channels,Radio,0,0,0,Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Scotland,Other,Looking after the home,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1
497,68,Male,Atheist or agnostic,"£15,000 to £24,999",No,National television,0,Radio,Newspapers,0,0,0,0,Government websites,0,0,0,0,Scotland,No academic qualifications,Working full-time,0,3,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,,0
500,48,Female,Christian,"£45,000 to £54,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Looking after the home,1,3,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,,0
506,53,Female,Atheist or agnostic,"£55,000 to £64,999",No,National television,0,Radio,Newspapers,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,Family and friends,"Work, school, or college",0,Wales,Undergraduate or postgraduate degree,Working full-time,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1
507,49,Male,Atheist or agnostic,"Under £15,000",No,0,0,0,0,0,0,0,0,0,0,0,0,Other (please specify),Northern Ireland,"0-4 GCSE, O-levels, or equivalents",Unable to work,0,2,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,1
509,44,Male,Atheist or agnostic,"£55,000 to £64,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,Scotland,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,1,2,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1
512,29,Female,Christian,"Under £15,000",No,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Northern Ireland,Undergraduate or postgraduate degree,Working part-time,1,1,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,1
514,23,Female,Other,"£25,000 to £34,999",No,0,0,0,0,"Social media (Facebook, Twitter, etc)",0,0,0,0,The internet or search engines,Family and friends,0,0,Scotland,2+ A levels or equivalents,Working part-time,0,3,3.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,,0
518,70,Male,Atheist or agnostic,"Over £100,000",No,National television,Satellite / international television channels,0,Newspapers,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1
520,58,Female,Christian,"£15,000 to £24,999",No,0,0,0,0,0,0,0,0,0,0,0,0,0,Wales,2+ A levels or equivalents,Working full-time,0,2,4.0,3.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,,1
522,61,Male,Atheist or agnostic,"£45,000 to £54,999",No,0,0,0,0,0,0,Healthcare workers,0,0,The internet or search engines,0,0,Other (please specify),Scotland,Apprenticeship,Working full-time,0,2,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,,1
523,32,Male,Other,"£35,000 to £44,999",No,National television,Satellite / international television channels,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Working full-time,1,1,4.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
525,32,Female,Atheist or agnostic,"£45,000 to £54,999",No,0,0,0,0,0,0,0,0,0,0,0,0,0,South East,Undergraduate or postgraduate degree,Working part-time,1,4,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0
526,71,Female,Christian,"£55,000 to £64,999",No,0,0,0,0,0,0,0,0,0,0,0,0,0,Wales,Undergraduate or postgraduate degree,Retired,0,2,3.0,3.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,1
532,20,Male,Christian,"£25,000 to £34,999",Yes,National television,0,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,North East,2+ A levels or equivalents,Working full-time,0,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
533,68,Male,Atheist or agnostic,"£65,000 to £99,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,Scotland,2+ A levels or equivalents,Working full-time,0,2,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,,1
535,48,Female,Christian,"£65,000 to £99,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,Government websites,0,Family and friends,0,0,Scotland,Undergraduate or postgraduate degree,Working full-time,0,1,4.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1
536,47,Female,Other,"Under £15,000",No,0,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,"0-4 GCSE, O-levels, or equivalents",Unable to work,0,4,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,0
537,42,Female,Christian,"£45,000 to £54,999",Yes,National television,0,0,0,0,0,0,0,Government websites,0,0,0,0,Northern Ireland,Undergraduate or postgraduate degree,Working full-time,1,1,4.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1
539,37,Female,Atheist or agnostic,"£15,000 to £24,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,Wales,2+ A levels or equivalents,Working full-time,0,3,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,0
541,43,Female,Atheist or agnostic,"£55,000 to £64,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Wales,Undergraduate or postgraduate degree,Working full-time,0,2,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1
543,75,Female,Christian,"£15,000 to £24,999",Yes,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,Scotland,No academic qualifications,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1
544,24,Male,Christian,"Under £15,000",No,0,0,0,0,"Social media (Facebook, Twitter, etc)",0,0,0,0,0,0,0,0,West Midlands,"0-4 GCSE, O-levels, or equivalents",Student,0,2,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,,1
546,67,Female,Christian,"£35,000 to £44,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,Wales,"5+ GCSE, O-levels, 1 A level, or equivalents",Retired,0,2,4.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,1
547,52,Female,Other,"£35,000 to £44,999",No,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,West Midlands,Undergraduate or postgraduate degree,Working part-time,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1
548,67,Female,Christian,"£25,000 to £34,999",No,National television,0,0,0,0,0,Healthcare workers,0,Government websites,0,0,0,0,Northern Ireland,2+ A levels or equivalents,Retired,0,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1
549,66,Female,Christian,"£35,000 to £44,999",No,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,South East,"0-4 GCSE, O-levels, or equivalents",Retired,0,1,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1
553,49,Female,Christian,"£25,000 to £34,999",Yes,0,0,0,0,"Social media (Facebook, Twitter, etc)",0,0,0,0,0,0,0,0,Scotland,"0-4 GCSE, O-levels, or equivalents",Working full-time,1,1,4.0,3.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1
554,56,Male,Christian,"£25,000 to £34,999",No,National television,Satellite / international television channels,0,0,0,0,0,0,0,0,0,0,0,Wales,Other,Working part-time,0,1,2.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1
555,75,Female,Christian,"Under £15,000",Yes,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,West Midlands,Other,Retired,0,1,3.0,3.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1
558,40,Male,Christian,"Under £15,000",Yes,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,Scotland,No academic qualifications,Unable to work,0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1
559,22,Female,Atheist or agnostic,"£15,000 to £24,999",No,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,South West,Undergraduate or postgraduate degree,Student,0,1,3.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
561,73,Male,Atheist or agnostic,"£15,000 to £24,999",No,National television,0,0,0,0,0,0,International health authorities (such as The World Health Organization),0,0,0,0,0,South West,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1
562,52,Female,Other,"£35,000 to £44,999",No,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,Scotland,"0-4 GCSE, O-levels, or equivalents",Working part-time,1,1,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1
565,68,Male,Atheist or agnostic,"£65,000 to £99,999",Yes,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,0,0,0,Greater London,Undergraduate or postgraduate degree,Working full-time,1,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,1
566,29,Female,Other,"£35,000 to £44,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,0,0,0,0,0,Northern Ireland,Undergraduate or postgraduate degree,Working part-time,0,1,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1
568,52,Male,Christian,"£65,000 to £99,999",No,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,Wales,Undergraduate or postgraduate degree,Working full-time,1,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1
569,42,Female,Atheist or agnostic,"£35,000 to £44,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Scotland,Apprenticeship,Working full-time,0,2,3.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,,1
571,39,Female,Atheist or agnostic,"£25,000 to £34,999",No,0,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,Other,Unemployed,1,3,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,0
572,24,Female,Christian,"£35,000 to £44,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,South West,Undergraduate or postgraduate degree,Working part-time,0,1,3.0,4.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1
574,63,Male,Other,"£15,000 to £24,999",Yes,National television,Satellite / international television channels,Radio,Newspapers,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,Scotland,"5+ GCSE, O-levels, 1 A level, or equivalents",Unemployed,1,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1
576,62,Female,Atheist or agnostic,"£65,000 to £99,999",No,0,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Retired,1,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
578,74,Female,Christian,"£35,000 to £44,999",No,National television,Satellite / international television channels,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,North East,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1
579,47,Female,Atheist or agnostic,"£35,000 to £44,999",No,National television,0,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,Family and friends,"Work, school, or college",0,Scotland,2+ A levels or equivalents,Working part-time,1,2,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,,1
580,55,Male,Atheist or agnostic,"£25,000 to £34,999",No,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,0,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Working full-time,1,2,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,,1
581,74,Female,Christian,"£25,000 to £34,999",Yes,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,East of England,Undergraduate or postgraduate degree,Working part-time,0,1,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1
582,22,Female,Christian,"£45,000 to £54,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,Government websites,0,0,0,0,South West,Undergraduate or postgraduate degree,Student,0,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1
583,62,Female,Christian,"£35,000 to £44,999",No,0,0,0,0,0,0,0,0,0,0,0,0,0,Wales,Other,Working part-time,0,1,4.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1
584,65,Male,Atheist or agnostic,"£65,000 to £99,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,Other (please specify),Scotland,Undergraduate or postgraduate degree,Working full-time,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1
585,60,Female,Christian,"£35,000 to £44,999",No,National television,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,"0-4 GCSE, O-levels, or equivalents",Looking after the home,0,2,4.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1
589,62,Male,Atheist or agnostic,"Under £15,000",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Unable to work,0,1,4.0,3.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1
590,50,Female,Atheist or agnostic,"£15,000 to £24,999",Yes,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,East of England,"5+ GCSE, O-levels, 1 A level, or equivalents",Working part-time,1,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1
591,66,Female,Atheist or agnostic,"Under £15,000",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,Wales,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,0,1,4.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1
592,21,Female,Atheist or agnostic,"£35,000 to £44,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,"Work, school, or college",0,Yorkshire and The Humber,2+ A levels or equivalents,Unemployed,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1
593,61,Female,Christian,"£35,000 to £44,999",No,National television,Satellite / international television channels,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Working full-time,0,2,4.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,,1
597,48,Male,Atheist or agnostic,"£65,000 to £99,999",No,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Working full-time,0,2,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,,1
599,64,Female,Atheist or agnostic,"£25,000 to £34,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,Scotland,2+ A levels or equivalents,Retired,0,1,4.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
