,COV_DOSE,COV_DOSE_2,COV_KNOWL_1,COV_KNOWL_2,COV_KNOWL_3,COV_KNOWL_4,COV_KNOWL_5,COV_KNOWL_6,COV_KNOWL_7,VAC_PASS_INT,ANX_1,ANX_2,ANX_3,ANX_4,ANX_5,ANX_6,DEMAGE,DREAD,DEMREG,DEMSEX,DEMEDU,DEMWRK,DEMREL,DEMINC,COV_INV,DEMNHS,COV_SHIELD,VAC_DEC,Q71,MIST_1,MIST_2,MIST_3,MIST_4,MIST_5,MIST_6,MIST_7,MIST_8,MIST_9,MIST_10,MIST_11,MIST_12,MIST_13,MIST_14,MIST_15,MIST_16,MIST_17,MIST_18,MIST_19,MIST_20,COV_TRUST_1,COV_TRUST_2,COV_TRUST_3,COV_TRUST_4,COV_TRUST_5,COV_TRUST_6,COV_TRUST_7,COV_TRUST_8,COV_TRUST_9,COV_TRUST_10,COV_TRUST_11,COV_TRUST_12,COV_TRUST_13,intention,VAC_PASS_1,VAC_PASS_2,VAC_PASS_3,VAC_PASS_4,VAC_PASS_5,VAC_PASS_6,VAC_PASS_7,VAC_PASS_UK,intenttarget_1,intenttarget_2,uptaketarget
3469,1,1,4,4,4,4,3,4,4,4.0,3,2,2,2,3,3,50,1,East of England,Female,"0-4 GCSE, O-levels, or equivalents",Looking after the home,Christian,"£25,000 to £34,999",Yes,No,Yes,0,Conservative,Real,Fake,Real,Fake,Real,Real,Fake,Real,Real,Fake,Fake,Fake,Real,Real,Fake,Fake,Real,Fake,Real,Real,National television,Satellite / international television channels,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,,5,4,5,5,5,5,5,4,,,1.0
3473,2,,4,4,4,4,4,4,1,3.0,3,1,1,3,3,1,64,1,East of England,Male,Undergraduate or postgraduate degree,Looking after the home,Atheist or agnostic,"Under £15,000",Yes,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Fake,Real,Real,Real,Real,0,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,,2,1,5,4,4,4,1,3,,,1.0
3474,,,4,4,4,4,4,3,1,5.0,1,3,3,1,1,3,45,4,Scotland,Male,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£35,000 to £44,999",No,No,Yes,0,SNP,Real,Fake,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,Real,Real,Real,National television,0,0,0,0,0,0,0,Government websites,The internet or search engines,0,0,0,1.0,1,1,5,5,5,5,5,5,1.0,1.0,
3475,,,4,4,4,4,3,4,1,5.0,3,2,1,3,2,1,37,2,North East,Male,Undergraduate or postgraduate degree,Working full-time,Christian,"£35,000 to £44,999",No,No,No,1,Conservative,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Real,Real,Fake,Real,Real,Real,0,0,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,0,0,0,0,0,1.0,4,3,2,2,2,4,4,5,1.0,1.0,
3478,1,1,4,4,4,3,3,4,1,4.0,3,1,2,3,3,1,68,2,Scotland,Male,Undergraduate or postgraduate degree,Retired,Atheist or agnostic,"£35,000 to £44,999",Yes,No,No,0,Liberal Democrat,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Real,Real,Real,Real,Real,National television,Satellite / international television channels,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,0,0,0,,3,1,3,4,4,4,2,4,,,1.0
3479,1,1,4,4,4,4,4,1,1,3.0,1,3,3,1,2,3,50,3,South East,Male,Undergraduate or postgraduate degree,Working full-time,Christian,"£65,000 to £99,999",Yes,No,No,0,Conservative,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Fake,Real,Real,Fake,National television,0,Radio,Newspapers,0,0,0,0,0,0,0,0,0,,1,1,4,5,5,5,1,3,,,1.0
3480,,,4,4,4,4,3,2,1,4.0,2,2,1,2,3,1,29,2,Yorkshire and The Humber,Male,Undergraduate or postgraduate degree,Working full-time,Christian,"£35,000 to £44,999",No,No,No,1,Labour,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Fake,Real,Real,Real,Fake,0,0,0,Newspapers,0,0,0,0,Government websites,0,0,0,0,2.0,4,4,3,4,1,2,5,1,,1.0,
3482,1,1,4,4,4,4,4,3,1,5.0,2,3,1,2,2,3,67,1,Yorkshire and The Humber,Male,"0-4 GCSE, O-levels, or equivalents",Retired,Atheist or agnostic,"£15,000 to £24,999",Yes,No,No,0,Conservative,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Real,Fake,Fake,Real,Fake,Fake,Real,Fake,Real,Fake,Real,Real,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,,1,1,5,5,5,5,5,5,,,1.0
3484,2,,4,3,4,3,3,2,1,4.0,2,2,2,2,1,2,70,3,East of England,Female,"0-4 GCSE, O-levels, or equivalents",Retired,Christian,"£25,000 to £34,999",Yes,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,National television,0,0,0,0,0,0,0,Government websites,0,0,0,0,,2,2,4,4,4,5,3,3,,,1.0
3486,1,1,3,4,4,4,4,3,1,3.0,3,1,1,3,3,2,41,1,Greater London,Male,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£45,000 to £54,999",Yes,No,No,1,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Real,Fake,Fake,Fake,Real,0,0,0,0,0,0,0,0,Government websites,0,0,0,0,,3,4,4,2,2,4,3,3,,,1.0
3490,2,,3,4,4,3,3,4,1,3.0,3,1,3,3,3,1,76,1,South East,Male,Undergraduate or postgraduate degree,Retired,Atheist or agnostic,"Under £15,000",Yes,No,No,0,Conservative,Fake,Real,Real,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Fake,Real,Fake,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,3,3,3,4,4,3,,,1.0
3492,1,1,3,3,3,3,3,2,1,5.0,3,1,1,2,3,1,49,2,South West,Male,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,Other,"£55,000 to £64,999",Yes,No,No,0,Conservative,Fake,Fake,Real,Fake,Fake,Real,Fake,Real,Real,Real,Fake,Real,Real,Fake,Fake,Real,Fake,Real,Fake,Fake,National television,0,0,0,0,0,0,0,Government websites,0,Family and friends,0,0,,3,2,4,3,3,4,3,5,,,1.0
3496,3,,4,4,4,4,4,4,1,5.0,3,1,1,3,3,1,32,3,East of England,Male,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£65,000 to £99,999",Yes,No,Yes,0,Liberal Democrat,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Fake,Real,Real,Real,National television,0,0,0,0,0,0,International health authorities (such as The World Health Organization),0,0,0,0,0,1.0,1,1,5,5,5,5,5,5,1.0,1.0,0.0
3498,1,1,4,4,3,4,4,1,1,5.0,3,2,2,3,3,2,53,2,East of England,Female,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£65,000 to £99,999",Yes,No,No,1,Liberal Democrat,Real,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Real,Real,Real,Real,Fake,0,0,0,Newspapers,0,0,0,0,0,0,0,0,0,,2,2,2,4,4,5,4,4,,,1.0
3499,,,4,4,4,4,3,2,1,4.0,2,2,2,2,2,2,34,3,North West,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"Over £100,000",No,No,No,1,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Real,Real,Real,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4,5,2,2,2,2,2,3,,1.0,
3501,1,1,4,4,4,4,2,1,1,3.0,1,3,2,2,2,3,45,3,Scotland,Female,Other,Working full-time,Christian,"£65,000 to £99,999",Yes,No,No,1,Labour,Real,Real,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,National television,0,0,0,0,0,0,0,Government websites,0,0,0,0,,4,4,3,5,1,2,4,3,,,1.0
3502,1,2,4,4,4,3,2,2,1,4.0,3,1,1,3,2,1,50,1,East Midlands,Male,2+ A levels or equivalents,Working full-time,Christian,"£25,000 to £34,999",Yes,No,No,0,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Real,Real,Fake,Real,Real,National television,0,0,0,0,0,0,0,Government websites,0,0,0,0,,5,4,2,2,2,2,2,4,,,1.0
3503,,,3,3,3,3,3,3,1,4.0,2,2,1,2,2,1,47,1,Scotland,Male,"0-4 GCSE, O-levels, or equivalents",Working full-time,Atheist or agnostic,"£45,000 to £54,999",No,No,No,0,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Real,Real,Real,Real,Fake,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,3,4,3,3,4,2,4,1.0,1.0,
3504,,,4,4,4,4,4,4,1,4.0,3,2,2,3,3,2,34,3,East of England,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£45,000 to £54,999",No,No,No,1,Liberal Democrat,Fake,Real,Fake,Real,Fake,Fake,Fake,Real,Real,Real,Real,Real,Fake,Real,Real,Real,Real,Real,Real,Real,0,0,Radio,Newspapers,"Social media (Facebook, Twitter, etc)",0,0,0,Government websites,0,0,0,0,2.0,5,5,4,4,4,4,4,4,,1.0,
3508,1,1,4,4,4,4,3,2,1,5.0,2,2,2,2,2,2,58,1,South East,Female,"0-4 GCSE, O-levels, or equivalents",Working full-time,Other,"£15,000 to £24,999",Yes,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,0,0,0,0,"Social media (Facebook, Twitter, etc)",0,0,0,0,0,0,0,0,,5,3,3,3,3,5,3,5,,,1.0
3510,1,1,4,4,4,4,3,1,1,3.0,2,2,1,3,3,2,61,1,North West,Male,2+ A levels or equivalents,Working full-time,Atheist or agnostic,"£45,000 to £54,999",Yes,No,No,0,Conservative,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,National television,0,0,0,0,0,Healthcare workers,0,Government websites,0,0,0,0,,2,1,4,5,5,4,4,3,,,1.0
3511,1,1,4,4,4,4,3,2,1,3.0,2,2,1,2,2,1,65,2,East of England,Female,2+ A levels or equivalents,Retired,Christian,"Under £15,000",Yes,No,No,0,Conservative,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Fake,Real,Real,Fake,Real,National television,0,0,0,0,0,0,0,0,The internet or search engines,0,0,0,,2,2,4,4,4,5,4,3,,,1.0
3512,,,4,4,4,4,4,4,1,3.0,2,2,1,2,2,1,36,1,Scotland,Male,"0-4 GCSE, O-levels, or equivalents",Working full-time,Other,"Under £15,000",No,No,No,0,SNP,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Real,Fake,Fake,Real,National television,0,0,0,0,0,0,0,Government websites,The internet or search engines,0,0,0,1.0,3,3,3,3,2,3,3,3,1.0,1.0,
3514,1,1,4,4,1,4,4,3,1,3.0,3,2,1,3,3,2,59,1,South West,Male,Undergraduate or postgraduate degree,Working part-time,Christian,"Under £15,000",Yes,No,No,1,Local independent,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,,1,1,5,5,5,5,5,3,,,1.0
3515,,,4,4,4,4,4,3,1,3.0,3,1,2,3,2,1,25,2,North West,Male,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£55,000 to £64,999",No,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Real,Fake,Fake,Real,Real,0,Satellite / international television channels,0,0,"Social media (Facebook, Twitter, etc)",0,0,0,0,0,0,0,0,1.0,1,1,5,5,5,5,5,3,1.0,1.0,
3517,1,1,4,4,4,4,4,1,1,3.0,2,3,3,2,2,3,52,3,East Midlands,Female,2+ A levels or equivalents,Working part-time,Christian,"£55,000 to £64,999",Yes,No,No,1,Conservative,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Fake,Real,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,,1,1,4,4,4,4,1,3,,,1.0
3518,1,1,4,4,4,4,3,1,1,5.0,3,1,1,3,2,2,51,2,Yorkshire and The Humber,Female,Undergraduate or postgraduate degree,Working part-time,Christian,"Over £100,000",Yes,No,No,1,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Real,Real,Real,Real,Real,Real,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,,2,1,3,4,4,4,1,3,,,1.0
3519,,,2,4,4,4,2,2,1,5.0,3,1,1,2,2,1,33,1,South East,Female,Undergraduate or postgraduate degree,Working part-time,Other,"£25,000 to £34,999",No,No,No,1,Labour,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Fake,Real,Real,Fake,0,0,0,0,0,0,0,0,0,The internet or search engines,Family and friends,0,0,1.0,3,5,1,1,2,3,5,3,1.0,1.0,
3520,,,4,4,4,4,3,4,1,3.0,2,2,2,2,1,3,23,1,North West,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Looking after the home,Atheist or agnostic,"Under £15,000",No,No,No,1,Other/Not eligible,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Real,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,The internet or search engines,0,0,0,4.0,5,5,1,1,2,1,4,3,0.0,0.0,
3521,1,3,4,4,4,2,2,2,4,2.0,1,3,1,3,3,1,24,3,Greater London,Male,Undergraduate or postgraduate degree,Working full-time,Muslim,"£35,000 to £44,999",Yes,No,No,1,Labour,Real,Fake,Real,Real,Fake,Real,Real,Real,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Real,Real,Fake,Real,National television,0,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,,4,3,3,5,5,2,5,2,,,1.0
3522,,,4,4,4,4,3,2,1,3.0,3,1,1,3,3,1,36,1,Scotland,Female,2+ A levels or equivalents,Working part-time,Other,"£65,000 to £99,999",No,No,No,1,SNP,Fake,Fake,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Real,Real,Real,Fake,Real,National television,Satellite / international television channels,Radio,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,1.0,3,2,3,3,3,3,4,3,1.0,1.0,
3524,,,4,4,4,4,4,4,1,3.0,2,1,1,2,2,2,24,2,North East,Female,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£35,000 to £44,999",No,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,National television,0,0,0,0,0,0,0,0,The internet or search engines,0,0,0,1.0,3,3,3,3,3,3,4,3,1.0,1.0,
3525,,,3,3,3,3,3,3,1,5.0,1,2,2,1,1,2,18,2,Greater London,Female,2+ A levels or equivalents,Student,Muslim,"£15,000 to £24,999",No,No,No,0,Labour,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,Real,National television,0,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,Family and friends,0,0,2.0,5,4,2,3,2,3,5,4,,1.0,
3528,1,1,4,4,4,4,4,2,1,5.0,3,1,1,2,1,3,52,3,Greater London,Male,"0-4 GCSE, O-levels, or equivalents",Working full-time,Christian,"Under £15,000",Yes,No,No,0,Conservative,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Fake,Real,Real,Real,Real,National television,0,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,The internet or search engines,0,0,0,,1,1,5,5,5,5,5,5,,,1.0
3529,1,1,4,4,3,4,3,2,1,3.0,2,3,3,2,2,3,50,2,South West,Male,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£65,000 to £99,999",Yes,No,No,1,Conservative,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Fake,Fake,Real,Real,Real,Real,Fake,Real,National television,0,0,0,0,0,Healthcare workers,0,Government websites,0,0,0,0,,2,1,5,3,4,5,4,3,,,1.0
3531,1,1,4,4,3,4,3,4,1,3.0,1,2,1,1,1,2,49,4,North West,Male,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,Other,"£55,000 to £64,999",Yes,No,No,1,Labour,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,0,0,0,0,0,0,Healthcare workers,0,0,0,0,0,0,,4,3,4,3,5,4,4,3,,,1.0
3532,1,1,4,4,4,4,4,4,4,3.0,2,3,3,3,2,3,23,3,Greater London,Female,Undergraduate or postgraduate degree,Working full-time,Muslim,"£15,000 to £24,999",Yes,No,Yes,0,Labour,Real,Fake,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,0,0,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,Government websites,The internet or search engines,Family and friends,"Work, school, or college",0,,5,2,5,5,2,5,5,5,,,1.0
3533,,,4,4,4,4,4,1,1,3.0,1,3,3,1,1,3,43,4,North West,Female,Undergraduate or postgraduate degree,Working full-time,Other,"£45,000 to £54,999",No,No,No,1,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Fake,Real,Real,Real,Real,Real,0,0,0,Newspapers,"Social media (Facebook, Twitter, etc)",0,0,0,0,0,Family and friends,"Work, school, or college",0,1.0,2,2,4,4,5,4,5,3,1.0,1.0,
3535,1,1,4,4,4,4,4,4,2,4.0,1,3,3,1,1,3,49,4,South East,Male,Undergraduate or postgraduate degree,Working full-time,Christian,"£55,000 to £64,999",Yes,No,No,1,Liberal Democrat,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,National television,0,Radio,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,0,"Work, school, or college",0,,5,5,5,5,5,5,3,4,,,1.0
3537,1,1,4,4,4,4,4,4,1,5.0,3,1,1,3,3,1,59,1,Scotland,Male,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"Over £100,000",Yes,No,No,0,SNP,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,Fake,National television,0,Radio,0,0,0,0,0,Government websites,0,0,0,0,,5,4,2,1,2,1,2,5,,,1.0
3542,1,1,4,4,4,4,3,4,1,3.0,1,3,2,1,1,3,54,2,West Midlands,Male,Undergraduate or postgraduate degree,Working full-time,Christian,"Over £100,000",Yes,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Fake,Fake,Real,Fake,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,0,0,0,,2,3,5,4,5,5,1,4,,,1.0
3544,1,1,1,4,4,1,3,2,4,4.0,2,3,3,2,1,3,34,3,South East,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£55,000 to £64,999",Yes,No,No,1,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,Fake,National television,0,0,Newspapers,0,0,0,0,Government websites,0,Family and friends,"Work, school, or college",0,,3,4,4,2,2,3,4,4,,,1.0
3545,,,4,4,4,4,3,4,1,3.0,2,2,1,2,2,2,31,2,East of England,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,Atheist or agnostic,"£65,000 to £99,999",No,No,No,0,Green Party,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Fake,Real,Real,Real,Real,Real,National television,0,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,1.0,4,3,3,3,4,4,5,3,1.0,1.0,
3546,1,1,3,4,4,4,2,1,1,5.0,1,3,2,2,1,3,53,3,Wales,Male,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,Christian,"£45,000 to £54,999",Yes,No,No,0,Local independent,Fake,Fake,Fake,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Fake,Real,National television,0,0,Newspapers,0,0,0,0,0,0,Family and friends,0,0,,2,3,4,3,3,4,4,5,,,1.0
3548,1,1,4,4,4,4,4,2,1,3.0,2,2,1,2,2,1,46,2,Greater London,Female,Undergraduate or postgraduate degree,Working part-time,Christian,"Over £100,000",Yes,No,No,1,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Fake,Real,Real,Real,Fake,Fake,Real,National television,0,0,Newspapers,"Social media (Facebook, Twitter, etc)",0,0,0,0,0,Family and friends,0,0,,3,4,2,1,1,4,4,3,,,1.0
3549,3,,4,4,4,4,4,1,1,3.0,2,3,2,3,2,2,32,2,West Midlands,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£45,000 to £54,999",Yes,No,No,0,Labour,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Fake,Real,Real,Real,Fake,0,0,0,Newspapers,"Social media (Facebook, Twitter, etc)",0,Healthcare workers,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,0,"Work, school, or college",0,4.0,3,5,1,3,3,1,5,3,0.0,0.0,0.0
3551,1,1,4,4,4,4,4,1,1,5.0,2,2,2,2,2,1,53,2,Wales,Female,Other,Looking after the home,Christian,"Under £15,000",Yes,No,No,0,Labour,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Fake,Real,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,Family and friends,0,0,,1,1,5,5,5,5,5,5,,,1.0
3552,,,4,2,2,4,3,2,1,5.0,2,3,2,1,1,3,41,1,North West,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working part-time,Christian,"£35,000 to £44,999",No,No,No,1,Labour,Real,Real,Real,Real,Real,Real,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Real,Fake,Real,Fake,Real,Real,National television,0,0,0,"Social media (Facebook, Twitter, etc)",0,Healthcare workers,0,0,0,Family and friends,0,0,1.0,4,3,4,3,2,4,4,5,1.0,1.0,
3553,1,1,4,4,4,4,4,2,1,3.0,3,1,1,2,2,1,56,1,Scotland,Female,Undergraduate or postgraduate degree,Unemployed,Christian,"Under £15,000",Yes,No,No,0,Conservative,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Fake,Real,Real,Real,Real,Real,0,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,0,0,0,0,0,,4,3,3,3,2,2,5,3,,,1.0
3554,,,3,4,4,4,3,2,3,2.0,3,1,1,3,3,2,38,2,North West,Male,"5+ GCSE, O-levels, 1 A level, or equivalents",Working part-time,Muslim,"Under £15,000",No,No,No,0,Labour,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Real,Real,Real,Fake,Real,Real,Fake,Fake,Real,Fake,Real,Real,0,0,0,0,0,0,0,0,Government websites,0,0,0,0,3.0,1,5,1,1,5,1,1,2,,0.0,
3555,1,1,4,4,4,4,4,4,1,5.0,3,1,1,3,3,1,47,4,West Midlands,Male,"0-4 GCSE, O-levels, or equivalents",Working full-time,Christian,"£15,000 to £24,999",Yes,No,Yes,0,Conservative,Fake,Real,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Real,Fake,Fake,Real,0,0,0,0,"Social media (Facebook, Twitter, etc)",0,0,0,Government websites,0,0,0,0,,4,5,5,5,4,5,5,3,,,1.0
3557,,,4,3,3,4,3,3,1,3.0,2,2,2,2,3,2,37,2,East Midlands,Female,Undergraduate or postgraduate degree,Working part-time,Atheist or agnostic,"£65,000 to £99,999",No,No,No,1,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Fake,Real,Real,Real,Real,Real,Real,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,1.0,2,2,4,2,4,4,2,3,1.0,1.0,
3558,1,1,4,4,4,3,3,3,1,3.0,3,1,1,2,2,1,63,1,East of England,Male,2+ A levels or equivalents,Working full-time,Christian,"£65,000 to £99,999",Yes,No,No,0,Reform Party ,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Fake,Real,Real,Real,Real,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,,1,2,5,4,4,5,2,3,,,1.0
